ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
"P34-060-HNSB-DEMO","3/4in Steel Pipe 6in Hvy Nat SB","Hvy Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-060-SBEP-DEMO","3/4in Steel Pipe 6in Std Black EP","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745391",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.3175,Item,,,,,"","","","","","","","","","","","","P0001","Pipe_Std_Boxed","Size","1/2in x 6in","Finish","Natural- no coating","","","","","","",ACTIVE,"","Pipe_1/2in_Blk Powder Coat_1.5in Length_QTY 6",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-060-SZPC-DEMO","3/4in Steel Pipe 6in Std Bronze PC","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127746237",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.3175,Item,,,,,"","","","","","","","","","","","","P0001","Pipe_Std_Boxed","Size","3/4in x 10in","Finish","Black Powder Coat","","","","","","",ACTIVE,"","Pipe_1/2in_Blk Powder Coat_1.5in Length_QTY 6",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-060-SWPC-DEMO","3/4in Steel Pipe 6in Std White PC","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745810",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.3175,Item,,,,,"","","","","","","","","","","","","PIPE-SL","Pipe_Std","Size","3/4in x 10in","Finish","Black Powder Coat","","","","","","",ACTIVE,"","Pipe_1/2in_Blk Powder Coat_1.5in Length",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-080-HBPC-DEMO","3/4in Steel Pipe 8in Hvy Black PC","Hvy Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-080-HNSB-DEMO","3/4in Steel Pipe 8in Hvy Nat SB","Hvy Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-080-SBEP-DEMO","3/4in Steel Pipe 8in Std Black EP","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745407",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.4694,Item,,,,,"","","","","","","","","","","","","PIPE-SL","Pipe_Std","Size","3/4in x 12in","Finish","Black Powder Coat","","","","","","",ACTIVE,"","Pipe_1/2in_Blk Powder Coat_1.5in Length",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-080-SZPC-DEMO","3/4in Steel Pipe 8in Std Bronze PC","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127746244",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.4694,Item,,,,,"","","","","","","","","","","","","PIPE-SL","Pipe_Std","Size","3/4in x 18in","Finish","Black Powder Coat","","","","","","",ACTIVE,"","Pipe_1/2in_Blk Powder Coat_1.5in Length",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-080-SWPC-DEMO","3/4in Steel Pipe 8in Std White PC","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745827",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.4694,Item,,,,,"","","","","","","","","","","","","P0001","Pipe_Std_Boxed","Size","3/4in x 16in","Finish","Black Powder Coat","","","","","","",ACTIVE,"","Pipe_1/2in_Blk Powder Coat_1.5in Length_QTY 6",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-T4W-HBPC-DEMO","3/4in Tee  4-Way Hvy Black PC","Hvy Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-T4W-HNSB-DEMO","3/4in Tee  4-Way Hvy Nat SB","Hvy Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-T4W-SBEP-DEMO","3/4in Tee 4-Way Std Black EP","Std Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745681",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.7730,Item,,,,,"","","","","","","","","","","","","StandardBlackTee","Standard Black Tee","Size","3/4 inch","Type","4 Way","","","Black, 3/4inin,4Way,Standard","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-T4W-SZPC-DEMO","3/4in Tee 4-Way Std Bronze PC","Std Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127746527",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.7730,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-T4W-SWPC-DEMO","3/4in Tee 4-Way Std White PC","Std Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127746107",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.7730,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-TEE-HBPC-DEMO","3/4in Tee Hvy Black PC","Hvy Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-TEE-HNSB-DEMO","3/4in Tee Hvy Nat SB","Hvy Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-TEE-SBEP-DEMO","3/4in Tee Std Black EP","Std Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745605",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.3727,Item,,,,,"","","","","","","","","","","","","StandardBlackTee","Standard Black Tee","Size","3/4 inch","Type","2 Way","","","Black, 3/4in,2Way,Standard","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-TEE-SZPC-DEMO","3/4in Tee Std Bronze PC","Std Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127746442",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.3727,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"F34-TEE-SWPC-DEMO","3/4in Tee Std White PC","Std Fittings Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127746022",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.3727,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"30000018","30000018 VIOLA ODORATA 15","06.PERENNIALS G/COVERS","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"30000018",0.0000,0.0000,,,"","",0.0000000,34.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"-","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"30000021","30000021 VIOLA HEDERACEA 6 PACK","06.PERENNIALS G/COVERS","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"30000021",0.0000,0.0000,,,"","",0.0000000,43.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"-","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"S11A1106","3D Vibes","Bamboo Socks","Sexy Socks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"6009560302894",0.0000,0.0000,Main Warehouse,,"","",0.0000000,14.9900,6.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,2.3810,Item,,,,,"","","","","","","","","","","","","","","","","","","","","Single Pair","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"S11A1106-IP","3D Vibes-3 Pack","Bamboo Socks","Sexy Socks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"6009560303495",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,19.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,0.0000,3 Pack,,,,,"","","","","","","","","","","","","","","","","","","","","3 Pack","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"S11A1106-CP","3D Vibes-Case Pack","Bamboo Socks","Sexy Socks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"6009560304096",0.0000,0.0000,Main Warehouse,Sexy Socks,"","",0.0000000,0.0000,1365.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,500.0000,Case Pack,,,,,"","","","","","","","","","","","","","","","","","","","","Case of 210","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"MASK-03","3PLY SURGICAL EARLOOP FACE MASK","RESPIRATORY-PROTECTION","ATLANTIC",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,2.0900,1.9900,2.0000,1.6400,1.5600,1.4100,1.3900,1.3300,1.2700,0.0000,No,No,No,No Drop Ship,,1.0100,EA,,,,,"","","","","","","","","","","","","","","","","","","","","Respiratory","","Standard Rate Purchases","Standard Rate Sales",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"5092423","5092423 VIOLA ODORATA BLUE 2L","06.PERENNIALS G/COVERS","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"5092423",0.0000,0.0000,,,"","",0.0000000,43.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"7CM X 15CM","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"70000490","70000490 VIOLA HEDERACEA 6 PACK","NEW CAT","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"70000490",0.0000,0.0000,,,"","",0.0000000,43.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"15CM X 50CM","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"70006617","70006617 TULBAGHIA VIOLACEA 2L","06.PERENNIALS G/COVERS","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"70006617",0.0000,0.0000,,,"","",0.0000000,26.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"-","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
